Roza2019_VCF_ID,Roza2019_VCF_ID1,Sample_ID,Plant_ID,Ordering,rep,col,row,Male_parent,Planting_ID,Male_parent_pop,plant,BC_ID,Female,Male,Planting_ID1,PlantNo,BC_ID1,Susceptible_parent,F1,Susceptible_parent1,PC1,PC2,PC3,kmeans,DAPC
1_S502_R1_001,SM:1_S502_R1_001,1_10B-75A-,1,1,1,1,1,10B,75A,1622,0,1613-10x1622-10B,1613-10,1622-10B,75A_0,Plant#0,1613-10_1622-10B,1613-10,1622-10B,10,1.20738228394758,1.64256748144402,-12.9619357518165,1,1
100_S86_R1_001,SM:100_S86_R1_001,100_26D-195A-16,100,77,1,5,1,26D,195A,1622,16,1613-26x1622-26D,1613-26,1622-26D,195A_16,Plant#16,1613-26_1622-26D,1613-26,1622-26D,26,19.1399712750647,34.4335465825235,-25.6544467286196,1,1
104_S109_R1_001,SM:104_S109_R1_001,104_28B-204A-1,104,79,1,5,3,28B,204A,1622,1,1613-28x1622-28B,1613-28,1622-28B,204A_1,Plant#1,1613-28_1622-28B,1613-28,1622-28B,28,-4.13794504589218,-40.6941782085356,-2.55239867898213,3,3
107_S121_R1_001,SM:107_S121_R1_001,107_28D-206A-9,107,80,1,5,4,28D,206A,1622,9,1613-28x1622-28D,1613-28,1622-28D,206A_9,Plant#9,1613-28_1622-28D,1613-28,1622-28D,28,-4.7148252614601,-43.7296988807609,-37.0587826103097,3,3
108_S40_R1_001,SM:108_S40_R1_001,108_28D-206A-11,108,81,1,5,5,28D,206A,1622,11,1613-28x1622-28D,1613-28,1622-28D,206A_11,Plant#11,1613-28_1622-28D,1613-28,1622-28D,28,4.50442678679994,-57.09254742891,-18.365459324107,3,3
111_S51_R1_001,SM:111_S51_R1_001,111_29C-213A-2,111,82,1,5,6,29C,213A,1622,2,1613-29x1622-29C,1613-29,1622-29C,213A_2,Plant#2,1613-29_1622-29C,1613-29,1622-29C,29,32.913469239057,12.1578263928721,29.0232424512492,1,1
112_S63_R1_001,SM:112_S63_R1_001,112_2-4B-1,112,83,1,5,7,2,4B,1613,1,1613-2Dx1613-2,1613-2D,1613-2,4B_1,Plant#1,1613-2_1613-2D,1613-2,1613-2D,2,48.3392624104508,54.2655420393585,-57.2945754446138,1,1
113_S75_R1_001,SM:113_S75_R1_001,113_3C-11A-2,113,84,1,5,8,3C,11A,1622,2,1613-3x1622-3C,1613-3,1622-3C,11A_2,Plant#2,1613-3_1622-3C,1613-3,1622-3C,3,25.5756993334224,-8.88924564351737,58.1934555104421,1,1
115_S87_R1_001,SM:115_S87_R1_001,115_3D-12A-2,115,85,1,5,9,3D,12A,1622,2,1613-3x1622-3D,1613-3,1622-3D,12A_2,Plant#2,1613-3_1622-3D,1613-3,1622-3D,3,23.3270351293804,2.64713244727535,-29.290153525474,1,1
116_S98_R1_001,SM:116_S98_R1_001,116_3F-13A-,116,86,1,5,10,3F,13A,1622,0,1613-3x1622-3F,1613-3,1622-3F,13A_0,Plant#0,1613-3_1622-3F,1613-3,1622-3F,3,-49.0807740804041,37.5272338559611,-24.6409729568883,2,2
117_S110_R1_001,SM:117_S110_R1_001,117_3H-14A-2,117,87,1,5,11,3H,14A,1622,2,1613-3x1622-3H,1613-3,1622-3H,14A_2,Plant#2,1613-3_1622-3H,1613-3,1622-3H,3,22.0338265459772,14.5608680097427,-20.9115656754828,1,1
118_S122_R1_001,SM:118_S122_R1_001,118_3J-16A-1,118,88,1,5,12,3J,16A,1622,1,1613-3x1622-3J,1613-3,1622-3J,16A_1,Plant#1,1613-3_1622-3J,1613-3,1622-3J,3,7.67719645125584,19.0489208441257,-29.0550237759651,1,1
12_S468_R1_001,SM:12_S468_R1_001,12_11B-82A-10,12,7,1,1,7,11B,82A,1622,10,1613-11x1622-11B,1613-11,1622-11B,82A_10,Plant#10,1613-11_1622-11B,1613-11,1622-11B,11,-31.7491486121143,18.2127586746933,17.2242528972287,2,2
121_S64_R1_001,SM:121_S64_R1_001,121_30A-218A-8,121,91,1,5,15,30A,218A,1622,8,1613-30x1622-30A,1613-30,1622-30A,218A_8,plant#8,1613-30_1622-30A,1613-30,1622-30A,30,35.8086869175746,-14.8224381384687,69.6265285070098,1,1
123_S76_R1_001,SM:123_S76_R1_001,123_30E-222A-2,123,92,1,5,16,30E,222A,1622,2,1613-30x1622-30E,1613-30,1622-30E,222A_2,Plant#2,1613-30_1622-30E,1613-30,1622-30E,30,6.58063019383154,-60.2799510262308,-4.42756395718477,3,3
124_S88_R1_001,SM:124_S88_R1_001,124_30L-228A-2,124,93,1,5,17,30L,228A,1622,2,1613-30x1622-30L,1613-30,1622-30L,228A_2,Plant#2,1613-30_1622-30L,1613-30,1622-30L,30,7.83900742583053,8.74677012787802,29.9012665133315,1,1
125_S99_R1_001,SM:125_S99_R1_001,125_30B-219A-2,125,94,1,5,18,30B,219A,1622,2,1613-30x1622-30B,1613-30,1622-30B,219A_2,Plant#2,1613-30_1622-30B,1613-30,1622-30B,30,26.4120962214629,-10.3249136459259,24.3175215160198,1,1
126_S111_R1_001,SM:126_S111_R1_001,126_32D-236A-,126,95,1,5,19,32D,236A,1622,0,1613-32x1622-32D,1613-32,1622-32D,236A_0,Plant#0,1613-32_1622-32D,1613-32,1622-32D,32,-62.260167051073,20.0561555807744,5.87991299363291,2,2
128_S123_R1_001,SM:128_S123_R1_001,128_4B-18A-1,128,96,1,6,1,4B,18A,1622,1,1613-4x1622-4B,1613-4,1622-4B,18A_1,Plant#1,1613-4_1622-4B,1613-4,1622-4B,4,34.5832222543075,23.148639719771,5.47710173309353,1,1
129_S41_R1_001,SM:129_S41_R1_001,129_4C-19A-2,129,97,1,6,2,4C,19A,1622,2,1613-4x1622-4C,1613-4,1622-4C,19A_2,Plant#2,1613-4_1622-4C,1613-4,1622-4C,4,29.9726860479291,16.6445620554912,5.0674892596092,1,1
13_S16_R1_001,SM:13_S16_R1_001,13_11B-82A-18,13,8,1,1,8,11B,82A,1622,18,1613-11x1622-11B,1613-11,1622-11B,82A_18,Plant#18,1613-11_1622-11B,1613-11,1622-11B,11,2.23229310694287,-24.2386350136256,7.41786181104388,1,1
130_S53_R1_001,SM:130_S53_R1_001,130_4D-20A-8,130,98,1,6,3,4D,20A,1622,8,1613-4x1622-4D,1613-4,1622-4D,20A_8,plant#8,1613-4_1622-4D,1613-4,1622-4D,4,28.4229306815541,30.4230324164406,-5.09874166546912,1,1
131_S65_R1_001,SM:131_S65_R1_001,131_4G-23A-1,131,99,1,6,4,4G,23A,1622,1,1613-4x1622-4G,1613-4,1622-4G,23A_1,Plant#1,1613-4_1622-4G,1613-4,1622-4G,4,16.0802785807583,23.1881838131875,11.4401309888427,1,1
133_S77_R1_001,SM:133_S77_R1_001,133_4L-27A-2,133,100,1,6,5,4L,27A,1622,2,1613-4x1622-4L,1613-4,1622-4L,27A_2,Plant#2,1613-4_1622-4L,1613-4,1622-4L,4,34.1955434949023,22.0853353972423,7.2642626537256,1,1
134_S89_R1_001,SM:134_S89_R1_001,134_4L-27A-,134,101,1,6,6,4L,27A,1622,0,1613-4x1622-4L,1613-4,1622-4L,27A_0,Plant#0,1613-4_1622-4L,1613-4,1622-4L,4,33.054139274786,20.2851996250235,7.92904034842117,1,1
135_S100_R1_001,SM:135_S100_R1_001,135_5A-28A-1,135,102,1,6,7,5A,28A,1622,1,1613-5x16225A,1613-5,16225A,28A_1,Plant#1,1613-5_16225A,1613-5,16225A,5,32.3744404730164,14.391926942563,23.810113530961,1,1
138_S112_R1_001,SM:138_S112_R1_001,138_5I-34A-8,138,103,1,6,8,5I,34A,1622,8,1613-5x1622-5I,1613-5,1622-5I,34A_8,plant#8,1613-5_1622-5I,1613-5,1622-5I,5,37.7870397676061,-18.728782222852,88.3846838316187,1,1
14_S20_R1_001,SM:14_S20_R1_001,14_11F-86A-11,14,9,1,1,9,11F,86A,1622,11,1613-11x1622-11F,1613-11,1622-11F,86A_11,Plant#11,1613-11_1622-11F,1613-11,1622-11F,11,9.72763795989828,-1.41944940018444,1.0309739043312,1,1
