Roza2019_VCF_ID1,Roza2019_VCF_ID,Sample_ID,Plant_ID.x,Ordering,rep,col,row,Plant_ID.y,Male_parent,Planting_ID,Male_parent_pop,plant,BC_ID,Female,Male,Planting_ID1,PlantNo,BC_ID1,Susceptible_parent,F1,Susceptible_parent1,PC1,PC2,PC3,group
SM:1_S502_R1_001,1_S502_R1_001,1_10B-75A-,1,1,1,1,1,1,10B,75A,1622,0,1613-10x1622-10B,1613-10,1622-10B,75A_0,Plant#0,1613-10_1622-10B,1613-10,1622-10B,10,1.20738228394758,1.64256748144402,-12.9619357518165,2
SM:4_S444_R1_001,4_S444_R1_001,4_10D-77A-14,4,2,1,1,2,4,10D,77A,1622,14,1613-10x1622-10D,1613-10,1622-10D,77A_14,Plant#14,1613-10_1622-10D,1613-10,1622-10D,10,-62.8088501511593,12.5993424253697,2.82093419364097,3
SM:5_S1_R1_001,5_S1_R1_001,5_10D-77A-11,5,3,1,1,3,5,10D,77A,1622,11,1613-10x1622-10D,1613-10,1622-10D,77A_11,Plant#11,1613-10_1622-10D,1613-10,1622-10D,10,-5.89866817975544,-23.4048370409652,-11.9917984305586,1
SM:6_S6_R1_001,6_S6_R1_001,6_10D-77A-12,6,4,1,1,4,6,10D,77A,1622,12,1613-10x1622-10D,1613-10,1622-10D,77A_12,Plant#12,1613-10_1622-10D,1613-10,1622-10D,10,-18.6327180892448,-38.8401141289127,-23.7358660873422,1
SM:7_S456_R1_001,7_S456_R1_001,7_10E-78A-1,7,5,1,1,5,7,10E,78A,1622,1,1613-10x1622-10E,1613-10,1622-10E,78A_1,Plant#1,1613-10_1622-10E,1613-10,1622-10E,10,-62.8159783885122,13.5365803618914,4.4486333730155,3
SM:9_S11_R1_001,9_S11_R1_001,9_11F-86A-2,9,6,1,1,6,9,11F,86A,1622,2,1613-11x1622-11F,1613-11,1622-11F,86A_2,Plant#2,1613-11_1622-11F,1613-11,1622-11F,11,16.0748447124657,-9.39451314658659,-6.29049016598943,2
SM:12_S468_R1_001,12_S468_R1_001,12_11B-82A-10,12,7,1,1,7,12,11B,82A,1622,10,1613-11x1622-11B,1613-11,1622-11B,82A_10,Plant#10,1613-11_1622-11B,1613-11,1622-11B,11,-31.7491486121143,18.2127586746933,17.2242528972287,3
SM:13_S16_R1_001,13_S16_R1_001,13_11B-82A-18,13,8,1,1,8,13,11B,82A,1622,18,1613-11x1622-11B,1613-11,1622-11B,82A_18,Plant#18,1613-11_1622-11B,1613-11,1622-11B,11,2.23229310694287,-24.2386350136256,7.41786181104388,2
SM:14_S20_R1_001,14_S20_R1_001,14_11F-86A-11,14,9,1,1,9,14,11F,86A,1622,11,1613-11x1622-11F,1613-11,1622-11F,86A_11,Plant#11,1613-11_1622-11F,1613-11,1622-11F,11,9.72763795989828,-1.41944940018444,1.0309739043312,2
SM:15_S24_R1_001,15_S24_R1_001,15_13A-95A-1,15,10,1,1,10,15,13A,95A,1622,1,1613-13x1622-13A,1613-13,1622-13A,95A_1,Plant#1,1613-13_1622-13A,1613-13,1622-13A,13,21.6817191446484,7.10878088426666,-13.741183154544,2
SM:16_S28_R1_001,16_S28_R1_001,16_13C-96A-1,16,11,1,1,11,16,13C,96A,1622,1,1613-13x1622-13C,1613-13,1622-13C,96A_1,Plant#1,1613-13_1622-13C,1613-13,1622-13C,13,11.4402331392615,-17.7251369401692,6.25511894883124,2
SM:17_S480_R1_001,17_S480_R1_001,17_13D-97A-1,17,12,1,1,12,17,13D,97A,1622,1,1613-13x1622-13D,1613-13,1622-13D,97A_1,Plant#1,1613-13_1622-13D,1613-13,1622-13D,13,8.69499085843062,-7.80612116816144,-8.8184182992173,2
SM:18_S32_R1_001,18_S32_R1_001,18_13D-97A-2,18,13,1,1,13,18,13D,97A,1622,2,1613-13x1622-13D,1613-13,1622-13D,97A_2,Plant#2,1613-13_1622-13D,1613-13,1622-13D,13,12.5941994774747,-15.2092384240103,18.2410460110487,2
SM:19_S2_R1_001,19_S2_R1_001,19_13F-99A-2,19,14,1,1,14,19,13F,99A,1622,2,1613-13x1622-13F,1613-13,1622-13F,99A_2,Plant#2,1613-13_1622-13F,1613-13,1622-13F,13,4.59576473985519,-22.5741407442252,9.03254068024283,2
SM:20_S7_R1_001,20_S7_R1_001,20_14C-104A-8,20,15,1,1,15,20,14C,104A,1622,8,1613-14x1622-14C,1613-14,1622-14C,104A_8,plant#8,1613-14_1622-14C,1613-14,1622-14C,14,31.2618568906929,29.1819865881423,3.57846642771158,2
SM:22_S12_R1_001,22_S12_R1_001,22_14K-107A-2,22,16,1,1,16,22,14K,107A,1622,2,1613-14x1622-14K,1613-14,1622-14K,107A_2,Plant#2,1613-14_1622-14K,1613-14,1622-14K,14,26.1667331434771,10.7534033476084,2.58121599879,2
SM:23_S17_R1_001,23_S17_R1_001,23_15I-114A-1,23,17,1,1,17,23,15I,114A,1622,1,1613-15x1622-15I,1613-15,1622-15I,114A_1,Plant#1,1613-15_1622-15I,1613-15,1622-15I,15,-112.879347627615,39.9694204240715,10.5723388872123,3
SM:24_S21_R1_001,24_S21_R1_001,24_15A-108A-1,24,18,1,1,18,24,15A,108A,1622,1,1613-15x1622-15A,1613-15,1622-15A,108A_1,Plant#1,1613-15_1622-15A,1613-15,1622-15A,15,-114.843480009173,37.4999519209297,15.7227888848737,3
SM:25_S25_R1_001,25_S25_R1_001,25_15A-108A-9,25,19,1,1,19,25,15A,108A,1622,9,1613-15x1622-15A,1613-15,1622-15A,108A_9,Plant#9,1613-15_1622-15A,1613-15,1622-15A,15,-124.711895646395,36.5913898073763,7.70944951525652,3
SM:26_S29_R1_001,26_S29_R1_001,26_15B-109A-1,26,20,1,2,1,26,15B,109A,1622,1,1613-15x1622-15B,1613-15,1622-15B,109A_1,Plant#1,1613-15_1622-15B,1613-15,1622-15B,15,-66.28346083914,16.8407214410162,-0.185435565803757,3
SM:27_S491_R1_001,27_S491_R1_001,27_15D-110A-1,27,21,1,2,2,27,15D,110A,1622,1,1613-15x1622-15D,1613-15,1622-15D,110A_1,Plant#1,1613-15_1622-15D,1613-15,1622-15D,15,-69.4146127116288,-29.2613045684682,-6.45898507222704,3
SM:29_S3_R1_001,29_S3_R1_001,29_15G-113A-15,29,23,1,2,4,29,15G,113A,1622,15,1613-15x1622-15G,1613-15,1622-15G,113A_15,Plant#15,1613-15_1622-15G,1613-15,1622-15G,15,-106.297384188329,43.4772280303929,17.2857935958178,3
SM:30_S8_R1_001,30_S8_R1_001,30_15G-113A-1,30,24,1,2,5,30,15G,113A,1622,1,1613-15x1622-15G,1613-15,1622-15G,113A_1,Plant#1,1613-15_1622-15G,1613-15,1622-15G,15,-86.8241650116058,-19.3809606914396,-15.1440120832583,3
SM:34_S434_R1_001,34_S434_R1_001,34_15-113B-2,34,27,1,2,8,34,15,113B,1613,2,1613-15Gx1622-15,1613-15,1622-15G,113B_2,Plant#2,1613-15_1622-15G,1613-15,1622-15G,15,-47.9745508408034,5.70767452969793,-2.3645071441615,3
