Roza2019_ID,Plant_ID,Roza2019_VCF_ID1,Roza2019_VCF_ID
63_2C-3A-2,63,SM:63_S36_R1_001,63_S36_R1_001
64_2D-4A-2,64,SM:64_S47_R1_001,64_S47_R1_001
65_2E-5A-2,65,SM:65_S59_R1_001,65_S59_R1_001
66_2L-9A-1,66,SM:66_S71_R1_001,66_S71_R1_001
67_20H-161A-2,67,SM:67_S83_R1_001,67_S83_R1_001
68_20H-161A-17-1,68,SM:68_S95_R1_001,68_S95_R1_001
69_20H-161A-2,69,SM:69_S106_R1_001,69_S106_R1_001
70_21A-166A-2,70,SM:70_S118_R1_001,70_S118_R1_001
72_21G -169A-1,72,SM:72_S37_R1_001,72_S37_R1_001
74_21K-171A-9,74,SM:74_S48_R1_001,74_S48_R1_001
76_21K -171A -1,76,SM:76_S60_R1_001,76_S60_R1_001
77_22 I-179A-1,77,SM:77_S72_R1_001,77_S72_R1_001
79_22 I-179A-2,79,SM:79_S84_R1_001,79_S84_R1_001
81_22F-176A-2,81,SM:81_S96_R1_001,81_S96_R1_001
82_22F-176A-8,82,SM:82_S107_R1_001,82_S107_R1_001
83_22F-176A-9,83,SM:83_S119_R1_001,83_S119_R1_001
85_22H-178A-2,85,SM:85_S38_R1_001,85_S38_R1_001
87_23C-183A-10,87,SM:87_S49_R1_001,87_S49_R1_001
88_23C-183A-12,88,SM:88_S61_R1_001,88_S61_R1_001
89_23D-184A-1,89,SM:89_S73_R1_001,89_S73_R1_001
90_23D-184A-2,90,SM:90_S85_R1_001,90_S85_R1_001
92_25 I-189A-,92,SM:92_S97_R1_001,92_S97_R1_001
93_25 I -189A-1,93,SM:93_S108_R1_001,93_S108_R1_001
94_26A-192A-1,94,SM:94_S120_R1_001,94_S120_R1_001
95_26A-192A-2,95,SM:95_S39_R1_001,95_S39_R1_001
96_26D-195A-9,96,SM:96_S50_R1_001,96_S50_R1_001
97_26D-195A-13,97,SM:97_S62_R1_001,97_S62_R1_001
98_26D-195A-15,98,SM:98_S74_R1_001,98_S74_R1_001
100_26D-195A-16,100,SM:100_S86_R1_001,100_S86_R1_001
104_28B-204A-1,104,SM:104_S109_R1_001,104_S109_R1_001
107_28D-206A-9,107,SM:107_S121_R1_001,107_S121_R1_001
108_28D-206A-11,108,SM:108_S40_R1_001,108_S40_R1_001
111_29C-213A-2,111,SM:111_S51_R1_001,111_S51_R1_001
112_2-4B-1,112,SM:112_S63_R1_001,112_S63_R1_001
113_3C-11A-2,113,SM:113_S75_R1_001,113_S75_R1_001
115_3D-12A-2,115,SM:115_S87_R1_001,115_S87_R1_001
116_3F-13A-,116,SM:116_S98_R1_001,116_S98_R1_001
117_3H-14A-2,117,SM:117_S110_R1_001,117_S110_R1_001
118_3J-16A-1,118,SM:118_S122_R1_001,118_S122_R1_001
121_30A-218A-8,121,SM:121_S64_R1_001,121_S64_R1_001
123_30E-222A-2,123,SM:123_S76_R1_001,123_S76_R1_001
124_30L-228A-2,124,SM:124_S88_R1_001,124_S88_R1_001
125_30B-219A-2,125,SM:125_S99_R1_001,125_S99_R1_001
126_32D-236A-,126,SM:126_S111_R1_001,126_S111_R1_001
128_4B-18A-1,128,SM:128_S123_R1_001,128_S123_R1_001
